titre,jourCreation,moisCreation,anCreation,Actes,auteur 1,auteur 2,auteur 3,auteur 4,arrang 1,arrang 2,arrang 3,compositeur 1,compositeur 2,compositeur 3,compositeur 4,c arrang 1,c arrang 2
Les Ailes de l'amour,23,5,1786,1,"Beffroy de Reigny, Louis Abel",,,,,,,divers compositeurs,,,,,
Les Amours d'été,25,9,1781,1,"Barré, Pierre Yvon","Piis, Pierre Antoine Augustin de",,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Les Amours de Bastien et Bastienne,11,2,1762,1,"Favart, Marie Justine Benoîte Cabaret Duronceray, Mme",Harny de Guerville,,,,,,,,,,"Sodi, Charles",
Les Amours de Chérubin,4,11,1784,3,"Desfontaines, François Georges Fouques, dit",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles","Piccinni, Luigi",,,,
Annette et Lubin,15,2,1762,1,"Favart, Marie Justine Benoîte Cabaret Duronceray, Mme",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,"Blaise, Adolphe Benoît",
Armide,4,2,1762,4,"Laujon, Pierre",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Le Bal,21,2,1762,1,"Dehesse, Jean-Baptiste François Deshayes, dit","Sodi, Pierre",,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Le Bal bourgeois,1,8,1761,1,"Favart, Charles Simon",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
La Bohémienne,22,4,1762,2,"Favart, Charles Simon",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,"Clément, Charles François",
La Bonne Femme ou le Phénix,7,7,1776,2,"Barré, Pierre Yvon","Piis, Pierre Antoine Augustin de","Després, Jean-Baptiste Denis","Resnier, Louis Pierre Pantaléon",,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,"Moulinghen, Jean-Baptiste",
Candide marié ou Il faut cultiver son jardin,20,6,1788,2,"Barré, Pierre Yvon","Radet, Jean-Baptiste",,,,,,airs parodiés et vaudevilles,"Lescot, C. François",,,,
Le Caprice amoureux ou Ninette à la cour,10,2,1762,2,"Favart, Charles Simon",,,,,,,"Musique parodiée de Vincenzo Ciampi, et de divers compositeurs",,,,,
Le Chinois,25,1,1764,1,"Favart, Charles Simon","Naigeon, Jacques André",,,,,,"Musique parodiée de Giuseppe Sellitto, et de divers compositeurs",,,,,
La Colonie,16,8,1775,2,"Gori, Antonio",,,,"Framery, Nicolas Étienne",,,Musique parodiée d'Antonio Sacchini,,,,,
Le Conciliateur à la mode ou les Étennes du public,5,1,1784,1,"Patrat, Joseph",,,,,,,"Musique parodiée, et vaudevilles",,,,,
La Confession du vaudeville,26,3,1801,0,"Étienne, Charles Guillaume","Moras, P.","Gaugiran-Nanteuil, P. Charles",,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Le Congrès des rois,26,2,1794,3,"Ève, Antoine François",,,,,,,"Musique de divers compositeurs : Berton, Blasius, Cherubini, Dalayrac, Deshayes, Devienne, Grétry, Jadin, Kreutzer, Méhul, Solié, Trial fils",,,,,
Les Deux Amis ou le Faux Vieillard,15,3,1779,3,"Durosoy, Barnabé Farmian","Guinguené, Pierre Louis",,,,,,Musique parodiée de divers compositeurs,"Rigel, Henri Joseph",,,,
Les Deux Morts ou la Ruse de Carnaval,27,2,1781,1,"Patrat, Joseph",,,,,,,Musique parodiée de divers compositeurs,,,,,
Le Diable à quatre ou la Double Métamorphose,30,1,1764,3,"Sedaine, Michel Jean","Baurans, Pierre",,,,,,Musique parodiée de diverse compositeurs,,,,,
La District de village,15,3,1790,1,"Desfontaines, François Georges Fouques, dit",,,,,,,"aris parodiés, vaudevilles et ""un air nouveau""",,,,,
L'École de village,10,5,1794,1,"Sewrin, Charles Augustin de Bassompierre, dit",,,,,,,Airs parodiés et vaudevilles,"Solié, Jean-Pierre",,,,
Les Ensorcelés ou Jeannot et Jeannette,21,2,1763,1,"Favart, Charles Simon","Favart, Marie Justine Benoîte Cabaret Duronceray, Mme","Guérin de Frémicourt, Jean Nicolas",Harny de Guerville,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Les Étrennes de Mercure ou le Bonnet magique,1,1,1781,3,"Barré, Pierre Yvon","Piis, Pierre Antoine Augustin de",,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
La Fête du château,25,9,1766,1,"Favart, Charles Simon","Lourdet de Santerre, Jean-Baptiste",,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
La Fin du bail ou le Repas des fermiers,8,3,1788,1,"Beffroy de Reigny, Louis Abel",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Gabrielle de Passy,30,8,1777,2,"Imbert, Barthélémy","Ussieux, Louis d'",,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Les Gémeaux,10,5,1777,3,"Gondot, Pierre Thomas",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
L'Heureux Naufrage,12,9,1786,1,Bodekin,,,,,,,"vaudevilles, couplets et danses militaires anonymes",,,,,
L'Incendie du Havre,21,2,1786,1,"Desfontaines, François Georges Fouques, dit",,,,,,,vaudevilles et couplets,,,,,
Isabelle hussard,31,7,1781,1,"Desfontaines, François Georges Fouques, dit",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Les Jeunes Mariés,25,5,1778,1,"Favart, Charles Simon","Parmentier, André",,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Le Mai,8,5,1776,3,"Desfontaines, François Georges Fouques, dit",,,,,,,"Musique parodiée de divers compositeurs, et vaudevilles",,,,,
Le Maître de musique,17,3,1763,2,"Baurans, Pierre",,,,,,,Musique parodiée de divers compositeurs,,,,,
La Marquise de Brinvilliers,31,10,1831,3,"Scribe, Eugène Augustin","Castil-Blaze, François Henri Joseph Blaze, dit",,,,,,Musique de divers compositeurs,,,,,
"La Matinée, la soirée et la nuit des Boulevards",11,10,1776,1,"Favart, Charles Simon",,,,,,,"vaudevilles, airs, ensembles et danses anonymes",,,,,
La Négresse ou le Pouvoir de la reconnaissance,15,6,1787,2,"Barré, Pierre Yvon","Radet, Jean-Baptiste",,,,,,Musique parodiée de diverse compositeurs,,,,"Lescot, C. François",
L'Olympiade ou le Triomphe de l'amitié,2,10,1777,3,"Metastasio, Pietro Trapassi, dit",,,,"Framery, Nicolas Étienne",,,Musique parodiée d'Antonio Sacchini,,,,,
L'Opéra à la cour,16,7,1840,1,"Scribe, Eugène Augustin","Vernoy de Saint-Georges, Jules Henri",,,,,,Musique empruntée à divers compositeurs,,,,"Grisar, Albert","Boieldieu, Adrien Louis Victor"
L'Opéra de province,17,12,1777,2,"Barré, Pierre Yvon","Piis, Pierre Antoine Augustin de","Després, Jean-Baptiste Denis","Resnier, Louis Pierre Pantaléon",,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Le Printemps,22,5,1781,1,"Barré, Pierre Yvon","Piis, Pierre Antoine Augustin de",,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,"Prot, Félix Jean",
Les Quatre Coins,3,11,1783,1,"Barré, Pierre Yvon","Piis, Pierre Antoine Augustin de",,,,,,vaudevilles et un air,,,,,
La Rage d'amour,19,3,1778,1,"Dorvigny, Louis François Archambault, dit",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
Raton et Rosette ou la Vengeance inutile,13,12,1762,1,"Favart, Charles Simon",,,,,,,Musique parodiée de divers compositeurs,,,,,
Roger-Bontems et Javotte,13,5,1775,1,"Moline, Pierre Louis","Dorvigny, Louis François Archambault, dit",,,,,,"Musique parodiée de divers compositeurs, et vaudevilles",,,,,
La Rosière de Salenci,14,12,1769,3,"Favart, Charles Simon",,,,,,,Musique de divers compositeurs,,,,,
La Soirée d'été,5,2,1782,1,"Parisau, Pierre Germain",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,
La Soirée des boulevards,1,6,1762,1,"Favart, Charles Simon",,,,,,,"Musique anonyme, et vaudevilles",,,,,
Les Solitaires de Normandie,15,1,1787,1,"Barré, Pierre Yvon","Piis, Pierre Antoine Augustin de",,,,,,Musique parodiée de divers compositeurs,"Lescot, C. François",,,,
Le Trompeur trompé ou la Rencontre imprévue,9,8,1767,1,"Vadé, Jean Joseph",,,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,"Blaise, Adolphe Benoît",
Le Voisinage,24,1,1800,1,"Pujoulx, Jean-Baptiste",,,,,,,"Musique de diverse composieturs: Bertaud, Dubaut, Gustave Dugazon, Louis-Barthélémy Pradher",,,,,
Les Voyages de Rosine,20,5,1783,3,"Barré, Pierre Yvon","Piis, Pierre Antoine Augustin de",,,,,,"Musique parodiée de diverse compositeurs, et vaudevilles",,,,,